,8:00-9:30,9:30-11:00,11:00-12:30,12:30-2:00,2:00-3:30,3:30-5:00,5:00-6:30,6:30-8:00,
,8:00-11:00,11:00-2:00,2:00-5:00,5:00-8:00,
,CS-6,Technical & Business Writing (CS-E),Programming Fundamentals (CS-G),Programming Fundamentals (CS-H),Data Science (CS-A),Data Science (CS-B),Compiler Construction (CS),No Class,No Class,
,CS-7,No Class,No Class,Design & Analysis of Algorithms (CS-A),Pakistan Studies (CS-D),Pakistan Studies (CS-C),Entrepreneurship (CS),No Class,No Class,
,CS-8,Technical & Business Writing (CS-D),Web Programming (CS-A),Web Programming (CS-B),Digital Logic Design (CS-E) ,Digital Logic Design (CS-F) ,Pakistan Studies (CS-F),No Class,No Class,
,CS-9,Software Testing (CS-B),Artificial Intelligence (CS-B),Advance Database Concepts (CS),Artificial Intelligence (CS-A),Object Oriented Programming (CS-B),Artificial Intelligence (CS-E),No Class,No Class,
,CS-10,Artificial Intelligence (CS-C),Artificial Intelligence (CS-D),Numerical Methods (CS-D),Information Retrieval (CS),Human Computer Interaction (CS-D),Artificial Intelligence (CS-F),No Class,No Class,
,CS-11,No Class,No Class,Object Oriented Programming (CS-A),Human Computer Interaction (CS-B),Human Computer Interaction (CS-A),No Class,No Class,No Class,
,CS-15,Pakistan Studies (CS-E),Software Engineering (CS-B),Software Engineering (CS-A),Digital Logic Design (CS-H),Digital Logic Design (CS-G),No Class,No Class,No Class,
,CS-16,Digital Logic Design (CS-D),No Class,Communication & Presentation Skills (CS-G1),No Class,Communication & Presentation Skills (CS-E1),No Class,No Class,No Class,
,Seminar Hall,No Class,No Class,No Class,Human Computer Interaction (CS-E),Communication & Presentation Skills (CS-E2),No Class,No Class,No Class,
,CE-2,No Class,No Class,No Class,No Class,No Class,No Class,No Class,No Class,
,CE-3,Pakistan Studies (CS-H),Differential Equations (Cal II) (CS-C),Differential Equations (Cal II) (CS-D),No Class,No Class,No Class,No Class,No Class,
,English Lab-I,Comm & Presentation Skills Lab (CS-G1),Comm & Presentation Skills Lab (CS-D1),Comm & Presentation Skills Lab (CS-E1),No Class,Comm & Presentation Skills Lab (CS-D2),No Class,No Class,No Class,
,English Lab-II,Comm & Presentation Skills Lab (CS-G2),No Class,Comm & Presentation Skills Lab (CS-E2),No Class,No Class,No Class,No Class,No Class,
